50 3
50.12 2 1 
100.2 3 1 
48.21 2 2 
30.83 4 3 
67.65 1 3 
56.81 3 2 
35.87 2 1 
80.31 1 3 
77.31 1 2 
93.91 2 1 
28.87 3 2
45.72 2 2
60.31 3 1
24.15 2 3
68.72 4 2
20.82 2 2
53.41 3 2
85.76 2 1
16.41 2 2
19.51 2 3
95.21 3 1
39.41 1 2
27.53 3 1
49.61 2 3
64.41 2 4
54.67 2 3
51.24 3 1
36.14 2 2
33.78 3 2
22.59 2 3
23.41 3 1
15.67 2 3
62.72 3 2
84.51 2 1
82.73 3 2
94.56 3 1
97.31 2 3
75.41 1 2
78.77 2 3
90.89 3 1
28.41 2 3
102.4 3 2
105.9 2 3
91.87 3 1
110.4 3 2
88.52 3 2
108.7 2 1
37.41 2 3
107.9 2 2
47.13 3 3
